number,shape,spread,volumes
b,b,ch,3695
b,b,ch,3696
b,b,ch,3697
b,b,ch,3698
b,b,ch,3718
b,b,ch,3719
b,b,ch,3720
d2,tp,ch,3721
b,b,ch,3722
b,b,ch,3723
b,b,ch,3724
b,b,ch,3725
b,b,ch,3726
b,b,ch,3740
b,b,ch,3741
b,b,ch,3742
d5,tp,ch,3743
b,b,ch,3744
b,b,ch,3745
b,b,ch,3746
b,b,ch,3747
b,b,ch,3748
b,b,id,3768
b,b,id,3769
b,b,id,3770
d4,cr,id,3771
b,b,id,3772
b,b,id,3773
b,b,id,3774
b,b,id,3775
b,b,id,3776
b,b,id,3796
b,b,id,3797
b,b,id,3798
d3,cr,id,3799
b,b,id,3800
b,b,id,3801
b,b,id,3802
b,b,id,3803
b,b,id,3804
b,b,id,3818
b,b,id,3819
b,b,id,3820
d5,cr,id,3821
b,b,id,3822
b,b,id,3823
b,b,id,3824
b,b,id,3825
b,b,id,3826
b,b,id,3834
b,b,id,3835
b,b,id,3836
d2,cr,id,3837
b,b,id,3838
b,b,id,3839
b,b,id,3840
b,b,id,3841
b,b,id,3842
b,b,id,3856
b,b,id,3857
b,b,id,3858
d1,cr,id,3859
b,b,id,3860
b,b,id,3861
b,b,id,3862
b,b,id,3863
b,b,id,3864
b,b,id,3884
b,b,id,3885
b,b,id,3886
d4,ta,id,3887
b,b,id,3888
b,b,id,3889
b,b,id,3890
b,b,id,3891
b,b,id,3892
b,b,id,3900
b,b,id,3901
b,b,id,3902
d2,ta,id,3903
b,b,id,3904
b,b,id,3905
b,b,id,3906
b,b,id,3907
b,b,id,3908
b,b,id,3922
b,b,id,3923
b,b,id,3924
d5,ta,id,3925
b,b,id,3926
b,b,id,3927
b,b,id,3928
b,b,id,3929
b,b,id,3930
b,b,id,3944
b,b,id,3945
b,b,id,3946
d3,ta,id,3947
b,b,id,3948
b,b,id,3949
b,b,id,3950
b,b,id,3951
b,b,id,3952
b,b,id,3960
b,b,id,3961
b,b,id,3962
d1,ta,id,3963
b,b,id,3964
b,b,id,3965
b,b,id,3966
b,b,id,3967
b,b,id,3968
b,b,id,3988
b,b,id,3989
b,b,id,3990
d4,tp,id,3991
b,b,id,3992
b,b,id,3993
b,b,id,3994
b,b,id,3995
b,b,id,3996
b,b,id,4016
b,b,id,4017
b,b,id,4018
d1,tp,id,4019
b,b,id,4020
b,b,id,4021
b,b,id,4022
b,b,id,4023
b,b,id,4024
b,b,id,4032
b,b,id,4033
b,b,id,4034
d3,tp,id,4035
b,b,id,4036
b,b,id,4037
b,b,id,4038
b,b,id,4039
b,b,id,4040
b,b,id,4060
b,b,id,4061
b,b,id,4062
d2,tp,id,4063
b,b,id,4064
b,b,id,4065
b,b,id,4066
b,b,id,4067
b,b,id,4068
b,b,id,4082
b,b,id,4083
b,b,id,4084
d5,tp,id,4085
b,b,id,4086
b,b,id,4087
b,b,id,4088
b,b,id,4089
b,b,id,4090
b,b,ch,4110
b,b,ch,4111
b,b,ch,4112
d4,cr,ch,4113
b,b,ch,4114
b,b,ch,4115
b,b,ch,4116
b,b,ch,4117
b,b,ch,4118
b,b,ch,4138
b,b,ch,4139
b,b,ch,4140
d3,cr,ch,4141
b,b,ch,4142
b,b,ch,4143
b,b,ch,4144
b,b,ch,4145
b,b,ch,4146
b,b,ch,4160
b,b,ch,4161
b,b,ch,4162
d5,cr,ch,4163
b,b,ch,4164
b,b,ch,4165
b,b,ch,4166
b,b,ch,4167
b,b,ch,4168
b,b,ch,4176
b,b,ch,4177
b,b,ch,4178
d2,cr,ch,4179
b,b,ch,4180
b,b,ch,4181
b,b,ch,4182
b,b,ch,4183
b,b,ch,4184
b,b,ch,4198
b,b,ch,4199
b,b,ch,4200
d1,cr,ch,4201
b,b,ch,4202
b,b,ch,4203
b,b,ch,4204
b,b,ch,4205
b,b,ch,4206
b,b,ch,4226
b,b,ch,4227
b,b,ch,4228
d4,ta,ch,4229
b,b,ch,4230
b,b,ch,4231
b,b,ch,4232
b,b,ch,4233
b,b,ch,4234
b,b,ch,4242
b,b,ch,4243
b,b,ch,4244
d2,ta,ch,4245
b,b,ch,4246
b,b,ch,4247
b,b,ch,4248
b,b,ch,4249
b,b,ch,4250
b,b,ch,4264
b,b,ch,4265
b,b,ch,4266
d5,ta,ch,4267
b,b,ch,4268
b,b,ch,4269
b,b,ch,4270
b,b,ch,4271
b,b,ch,4272
b,b,ch,4286
b,b,ch,4287
b,b,ch,4288
d3,ta,ch,4289
b,b,ch,4290
b,b,ch,4291
b,b,ch,4292
b,b,ch,4293
b,b,ch,4294
b,b,ch,4302
b,b,ch,4303
b,b,ch,4304
d1,ta,ch,4305
b,b,ch,4306
b,b,ch,4307
b,b,ch,4308
b,b,ch,4309
b,b,ch,4310
b,b,ch,4330
b,b,ch,4331
b,b,ch,4332
d4,tp,ch,4333
b,b,ch,4334
b,b,ch,4335
b,b,ch,4336
b,b,ch,4337
b,b,ch,4338
b,b,ch,4358
b,b,ch,4359
b,b,ch,4360
d1,tp,ch,4361
b,b,ch,4362
b,b,ch,4363
b,b,ch,4364
b,b,ch,4365
b,b,ch,4366
b,b,ch,4374
b,b,ch,4375
b,b,ch,4376
d3,tp,ch,4377
b,b,ch,4378
b,b,ch,4379
b,b,ch,4380
b,b,ch,4381
b,b,ch,4382
b,b,ch,4402
b,b,ch,4403
b,b,ch,4404
d2,tp,ch,4405
b,b,ch,4406
b,b,ch,4407
b,b,ch,4408
b,b,ch,4409
b,b,ch,4410
b,b,ch,4424
b,b,ch,4425
b,b,ch,4426
d5,tp,ch,4427
b,b,ch,4428
b,b,ch,4429
b,b,ch,4430
b,b,ch,4431
b,b,ch,4432
b,b,id,4452
b,b,id,4453
b,b,id,4454
d4,cr,id,4455
b,b,id,4456
b,b,id,4457
b,b,id,4458
b,b,id,4459
b,b,id,4460
b,b,id,4480
b,b,id,4481
b,b,id,4482
d3,cr,id,4483
b,b,id,4484
b,b,id,4485
b,b,id,4486
b,b,id,4487
b,b,id,4488
b,b,id,4502
b,b,id,4503
b,b,id,4504
d5,cr,id,4505
b,b,id,4506
b,b,id,4507
b,b,id,4508
b,b,id,4509
b,b,id,4510
b,b,id,4518
b,b,id,4519
b,b,id,4520
d2,cr,id,4521
b,b,id,4522
b,b,id,4523
b,b,id,4524
b,b,id,4525
b,b,id,4526
b,b,id,4540
b,b,id,4541
b,b,id,4542
d1,cr,id,4543
b,b,id,4544
b,b,id,4545
b,b,id,4546
b,b,id,4547
b,b,id,4548
b,b,id,4568
b,b,id,4569
b,b,id,4570
d4,ta,id,4571
b,b,id,4572
b,b,id,4573
b,b,id,4574
b,b,id,4575
b,b,id,4576
b,b,id,4584
b,b,id,4585
b,b,id,4586
d2,ta,id,4587
b,b,id,4588
b,b,id,4589
b,b,id,4590
b,b,id,4591
b,b,id,4592
b,b,id,4606
b,b,id,4607
b,b,id,4608
d5,ta,id,4609
b,b,id,4610
b,b,id,4611
b,b,id,4612
b,b,id,4613
b,b,id,4614
b,b,id,4628
b,b,id,4629
b,b,id,4630
d3,ta,id,4631
b,b,id,4632
b,b,id,4633
b,b,id,4634
b,b,id,4635
b,b,id,4636
b,b,id,4644
b,b,id,4645
b,b,id,4646
d1,ta,id,4647
b,b,id,4648
b,b,id,4649
b,b,id,4650
b,b,id,4651
b,b,id,4652
b,b,id,4672
b,b,id,4673
b,b,id,4674
d4,tp,id,4675
b,b,id,4676
b,b,id,4677
b,b,id,4678
b,b,id,4679
b,b,id,4680
b,b,id,4700
b,b,id,4701
b,b,id,4702
d1,tp,id,4703
b,b,id,4704
b,b,id,4705
b,b,id,4706
b,b,id,4707
b,b,id,4708
b,b,id,4716
b,b,id,4717
b,b,id,4718
d3,tp,id,4719
b,b,id,4720
b,b,id,4721
b,b,id,4722
b,b,id,4723
b,b,id,4724
b,b,id,4744
b,b,id,4745
b,b,id,4746
d2,tp,id,4747
b,b,id,4748
b,b,id,4749
b,b,id,4750
b,b,id,4751
b,b,id,4752
b,b,id,4766
b,b,id,4767
b,b,id,4768
d5,tp,id,4769
b,b,id,4770
b,b,id,4771
b,b,id,4772
b,b,id,4773
b,b,id,4774
b,b,ch,4794
b,b,ch,4795
b,b,ch,4796
d4,cr,ch,4797
b,b,ch,4798
b,b,ch,4799
b,b,ch,4800
b,b,ch,4801
b,b,ch,4802
b,b,ch,4822
b,b,ch,4823
b,b,ch,4824
d3,cr,ch,4825
b,b,ch,4826
b,b,ch,4827
b,b,ch,4828
b,b,ch,4829
b,b,ch,4830
b,b,ch,4844
b,b,ch,4845
b,b,ch,4846
d5,cr,ch,4847
b,b,ch,4848
b,b,ch,4849
b,b,ch,4850
b,b,ch,4851
b,b,ch,4852
b,b,ch,4860
b,b,ch,4861
b,b,ch,4862
d2,cr,ch,4863
b,b,ch,4864
b,b,ch,4865
b,b,ch,4866
b,b,ch,4867
b,b,ch,4868
b,b,ch,4882
b,b,ch,4883
b,b,ch,4884
d1,cr,ch,4885
b,b,ch,4886
b,b,ch,4887
b,b,ch,4888
b,b,ch,4889
b,b,ch,4890
b,b,ch,4910
b,b,ch,4911
b,b,ch,4912
d4,ta,ch,4913
b,b,ch,4914
b,b,ch,4915
b,b,ch,4916
b,b,ch,4917
b,b,ch,4918
b,b,ch,4926
b,b,ch,4927
b,b,ch,4928
d2,ta,ch,4929
b,b,ch,4930
b,b,ch,4931
b,b,ch,4932
b,b,ch,4933
b,b,ch,4934
b,b,ch,4948
b,b,ch,4949
b,b,ch,4950
d5,ta,ch,4951
b,b,ch,4952
b,b,ch,4953
b,b,ch,4954
b,b,ch,4955
b,b,ch,4956
b,b,ch,4970
b,b,ch,4971
b,b,ch,4972
d3,ta,ch,4973
b,b,ch,4974
b,b,ch,4975
b,b,ch,4976
b,b,ch,4977
b,b,ch,4978
b,b,ch,4986
b,b,ch,4987
b,b,ch,4988
d1,ta,ch,4989
b,b,ch,4990
b,b,ch,4991
b,b,ch,4992
b,b,ch,4993
b,b,ch,4994
b,b,ch,5014
b,b,ch,5015
b,b,ch,5016
d4,tp,ch,5017
b,b,ch,5018
b,b,ch,5019
b,b,ch,5020
b,b,ch,5021
b,b,ch,5022
b,b,ch,5042
b,b,ch,5043
b,b,ch,5044
d1,tp,ch,5045
b,b,ch,5046
b,b,ch,5047
b,b,ch,5048
b,b,ch,5049
b,b,ch,5050
b,b,ch,5058
b,b,ch,5059
b,b,ch,5060
d3,tp,ch,5061
b,b,ch,5062
b,b,ch,5063
b,b,ch,5064
b,b,ch,5065
b,b,ch,5066
b,b,ch,5086
b,b,ch,5087
b,b,ch,5088
d2,tp,ch,5089
b,b,ch,5090
b,b,ch,5091
b,b,ch,5092
b,b,ch,5093
b,b,ch,5094
b,b,ch,5108
b,b,ch,5109
b,b,ch,5110
d5,tp,ch,5111
b,b,ch,5112
b,b,ch,5113
b,b,ch,5114
b,b,ch,5115
b,b,ch,5116
b,b,id,5136
b,b,id,5137
b,b,id,5138
d4,cr,id,5139
b,b,id,5140
b,b,id,5141
b,b,id,5142
b,b,id,5143
b,b,id,5144
b,b,id,5164
b,b,id,5165
b,b,id,5166
d3,cr,id,5167
b,b,id,5168
b,b,id,5169
b,b,id,5170
b,b,id,5171
b,b,id,5172
b,b,id,5186
b,b,id,5187
b,b,id,5188
d5,cr,id,5189
b,b,id,5190
b,b,id,5191
b,b,id,5192
b,b,id,5193
b,b,id,5194
b,b,id,5202
b,b,id,5203
b,b,id,5204
d2,cr,id,5205
b,b,id,5206
b,b,id,5207
b,b,id,5208
b,b,id,5209
b,b,id,5210
b,b,id,5224
b,b,id,5225
b,b,id,5226
d1,cr,id,5227
b,b,id,5228
b,b,id,5229
b,b,id,5230
b,b,id,5231
b,b,id,5232
b,b,id,5252
b,b,id,5253
b,b,id,5254
d4,ta,id,5255
b,b,id,5256
b,b,id,5257
b,b,id,5258
b,b,id,5259
b,b,id,5260
b,b,id,5268
b,b,id,5269
b,b,id,5270
d2,ta,id,5271
b,b,id,5272
b,b,id,5273
b,b,id,5274
b,b,id,5275
b,b,id,5276
b,b,id,5290
b,b,id,5291
b,b,id,5292
d5,ta,id,5293
b,b,id,5294
b,b,id,5295
b,b,id,5296
b,b,id,5297
b,b,id,5298
b,b,id,5312
b,b,id,5313
b,b,id,5314
d3,ta,id,5315
b,b,id,5316
b,b,id,5317
b,b,id,5318
b,b,id,5319
b,b,id,5320
b,b,id,5328
b,b,id,5329
b,b,id,5330
d1,ta,id,5331
b,b,id,5332
b,b,id,5333
b,b,id,5334
b,b,id,5335
b,b,id,5336
b,b,id,5356
b,b,id,5357
b,b,id,5358
d4,tp,id,5359
b,b,id,5360
b,b,id,5361
b,b,id,5362
b,b,id,5363
b,b,id,5364
b,b,id,5384
b,b,id,5385
b,b,id,5386
d1,tp,id,5387
b,b,id,5388
b,b,id,5389
b,b,id,5390
b,b,id,5391
b,b,id,5392
b,b,id,5400
b,b,id,5401
b,b,id,5402
d3,tp,id,5403
b,b,id,5404
b,b,id,5405
b,b,id,5406
b,b,id,5407
b,b,id,5408
b,b,id,5428
b,b,id,5429
b,b,id,5430
d2,tp,id,5431
b,b,id,5432
b,b,id,5433
b,b,id,5434
b,b,id,5435
b,b,id,5436
b,b,id,5450
b,b,id,5451
b,b,id,5452
d5,tp,id,5453
b,b,id,5454
b,b,id,5455
b,b,id,5456
b,b,id,5457
b,b,id,5458
