number,shape,spread,volumes
b,b,ch,910
b,b,ch,911
b,b,ch,912
d4,tp,ch,913
b,b,ch,914
b,b,ch,915
b,b,ch,916
b,b,ch,917
b,b,ch,918
b,b,ch,938
b,b,ch,939
b,b,ch,940
d1,tp,ch,941
b,b,ch,942
b,b,ch,943
b,b,ch,944
b,b,ch,945
b,b,ch,946
b,b,ch,954
b,b,ch,955
b,b,ch,956
d3,tp,ch,957
b,b,ch,958
b,b,ch,959
b,b,ch,960
b,b,ch,961
b,b,ch,962
b,b,ch,982
b,b,ch,983
b,b,ch,984
d2,tp,ch,985
b,b,ch,986
b,b,ch,987
b,b,ch,988
b,b,ch,989
b,b,ch,990
b,b,ch,1004
b,b,ch,1005
b,b,ch,1006
d5,tp,ch,1007
b,b,ch,1008
b,b,ch,1009
b,b,ch,1010
b,b,ch,1011
b,b,ch,1012
b,b,id,1032
b,b,id,1033
b,b,id,1034
d4,cr,id,1035
b,b,id,1036
b,b,id,1037
b,b,id,1038
b,b,id,1039
b,b,id,1040
b,b,id,1060
b,b,id,1061
b,b,id,1062
d3,cr,id,1063
b,b,id,1064
b,b,id,1065
b,b,id,1066
b,b,id,1067
b,b,id,1068
b,b,id,1082
b,b,id,1083
b,b,id,1084
d5,cr,id,1085
b,b,id,1086
b,b,id,1087
b,b,id,1088
b,b,id,1089
b,b,id,1090
b,b,id,1098
b,b,id,1099
b,b,id,1100
d2,cr,id,1101
b,b,id,1102
b,b,id,1103
b,b,id,1104
b,b,id,1105
b,b,id,1106
b,b,id,1120
b,b,id,1121
b,b,id,1122
d1,cr,id,1123
b,b,id,1124
b,b,id,1125
b,b,id,1126
b,b,id,1127
b,b,id,1128
b,b,id,1148
b,b,id,1149
b,b,id,1150
d4,ta,id,1151
b,b,id,1152
b,b,id,1153
b,b,id,1154
b,b,id,1155
b,b,id,1156
b,b,id,1164
b,b,id,1165
b,b,id,1166
d2,ta,id,1167
b,b,id,1168
b,b,id,1169
b,b,id,1170
b,b,id,1171
b,b,id,1172
b,b,id,1186
b,b,id,1187
b,b,id,1188
d5,ta,id,1189
b,b,id,1190
b,b,id,1191
b,b,id,1192
b,b,id,1193
b,b,id,1194
b,b,id,1208
b,b,id,1209
b,b,id,1210
d3,ta,id,1211
b,b,id,1212
b,b,id,1213
b,b,id,1214
b,b,id,1215
b,b,id,1216
b,b,id,1224
b,b,id,1225
b,b,id,1226
d1,ta,id,1227
b,b,id,1228
b,b,id,1229
b,b,id,1230
b,b,id,1231
b,b,id,1232
b,b,id,1252
b,b,id,1253
b,b,id,1254
d4,tp,id,1255
b,b,id,1256
b,b,id,1257
b,b,id,1258
b,b,id,1259
b,b,id,1260
b,b,id,1280
b,b,id,1281
b,b,id,1282
d1,tp,id,1283
b,b,id,1284
b,b,id,1285
b,b,id,1286
b,b,id,1287
b,b,id,1288
b,b,id,1296
b,b,id,1297
b,b,id,1298
d3,tp,id,1299
b,b,id,1300
b,b,id,1301
b,b,id,1302
b,b,id,1303
b,b,id,1304
b,b,id,1324
b,b,id,1325
b,b,id,1326
d2,tp,id,1327
b,b,id,1328
b,b,id,1329
b,b,id,1330
b,b,id,1331
b,b,id,1332
b,b,id,1346
b,b,id,1347
b,b,id,1348
d5,tp,id,1349
b,b,id,1350
b,b,id,1351
b,b,id,1352
b,b,id,1353
b,b,id,1354
b,b,ch,1374
b,b,ch,1375
b,b,ch,1376
d4,cr,ch,1377
b,b,ch,1378
b,b,ch,1379
b,b,ch,1380
b,b,ch,1381
b,b,ch,1382
b,b,ch,1402
b,b,ch,1403
b,b,ch,1404
d3,cr,ch,1405
b,b,ch,1406
b,b,ch,1407
b,b,ch,1408
b,b,ch,1409
b,b,ch,1410
b,b,ch,1424
b,b,ch,1425
b,b,ch,1426
d5,cr,ch,1427
b,b,ch,1428
b,b,ch,1429
b,b,ch,1430
b,b,ch,1431
b,b,ch,1432
b,b,ch,1440
b,b,ch,1441
b,b,ch,1442
d2,cr,ch,1443
b,b,ch,1444
b,b,ch,1445
b,b,ch,1446
b,b,ch,1447
b,b,ch,1448
b,b,ch,1462
b,b,ch,1463
b,b,ch,1464
d1,cr,ch,1465
b,b,ch,1466
b,b,ch,1467
b,b,ch,1468
b,b,ch,1469
b,b,ch,1470
b,b,ch,1490
b,b,ch,1491
b,b,ch,1492
d4,ta,ch,1493
b,b,ch,1494
b,b,ch,1495
b,b,ch,1496
b,b,ch,1497
b,b,ch,1498
b,b,ch,1506
b,b,ch,1507
b,b,ch,1508
d2,ta,ch,1509
b,b,ch,1510
b,b,ch,1511
b,b,ch,1512
b,b,ch,1513
b,b,ch,1514
b,b,ch,1528
b,b,ch,1529
b,b,ch,1530
d5,ta,ch,1531
b,b,ch,1532
b,b,ch,1533
b,b,ch,1534
b,b,ch,1535
b,b,ch,1536
b,b,ch,1550
b,b,ch,1551
b,b,ch,1552
d3,ta,ch,1553
b,b,ch,1554
b,b,ch,1555
b,b,ch,1556
b,b,ch,1557
b,b,ch,1558
b,b,ch,1566
b,b,ch,1567
b,b,ch,1568
d1,ta,ch,1569
b,b,ch,1570
b,b,ch,1571
b,b,ch,1572
b,b,ch,1573
b,b,ch,1574
b,b,ch,1594
b,b,ch,1595
b,b,ch,1596
d4,tp,ch,1597
b,b,ch,1598
b,b,ch,1599
b,b,ch,1600
b,b,ch,1601
b,b,ch,1602
b,b,ch,1622
b,b,ch,1623
b,b,ch,1624
d1,tp,ch,1625
b,b,ch,1626
b,b,ch,1627
b,b,ch,1628
b,b,ch,1629
b,b,ch,1630
b,b,ch,1638
b,b,ch,1639
b,b,ch,1640
d3,tp,ch,1641
b,b,ch,1642
b,b,ch,1643
b,b,ch,1644
b,b,ch,1645
b,b,ch,1646
b,b,ch,1666
b,b,ch,1667
b,b,ch,1668
d2,tp,ch,1669
b,b,ch,1670
b,b,ch,1671
b,b,ch,1672
b,b,ch,1673
b,b,ch,1674
b,b,ch,1688
b,b,ch,1689
b,b,ch,1690
d5,tp,ch,1691
b,b,ch,1692
b,b,ch,1693
b,b,ch,1694
b,b,ch,1695
b,b,ch,1696
b,b,id,1716
b,b,id,1717
b,b,id,1718
d4,cr,id,1719
b,b,id,1720
b,b,id,1721
b,b,id,1722
b,b,id,1723
b,b,id,1724
b,b,id,1744
b,b,id,1745
b,b,id,1746
d3,cr,id,1747
b,b,id,1748
b,b,id,1749
b,b,id,1750
b,b,id,1751
b,b,id,1752
b,b,id,1766
b,b,id,1767
b,b,id,1768
d5,cr,id,1769
b,b,id,1770
b,b,id,1771
b,b,id,1772
b,b,id,1773
b,b,id,1774
b,b,id,1782
b,b,id,1783
b,b,id,1784
d2,cr,id,1785
b,b,id,1786
b,b,id,1787
b,b,id,1788
b,b,id,1789
b,b,id,1790
b,b,id,1804
b,b,id,1805
b,b,id,1806
d1,cr,id,1807
b,b,id,1808
b,b,id,1809
b,b,id,1810
b,b,id,1811
b,b,id,1812
b,b,id,1832
b,b,id,1833
b,b,id,1834
d4,ta,id,1835
b,b,id,1836
b,b,id,1837
b,b,id,1838
b,b,id,1839
b,b,id,1840
b,b,id,1848
b,b,id,1849
b,b,id,1850
d2,ta,id,1851
b,b,id,1852
b,b,id,1853
b,b,id,1854
b,b,id,1855
b,b,id,1856
b,b,id,1870
b,b,id,1871
b,b,id,1872
d5,ta,id,1873
b,b,id,1874
b,b,id,1875
b,b,id,1876
b,b,id,1877
b,b,id,1878
b,b,id,1892
b,b,id,1893
b,b,id,1894
d3,ta,id,1895
b,b,id,1896
b,b,id,1897
b,b,id,1898
b,b,id,1899
b,b,id,1900
b,b,id,1908
b,b,id,1909
b,b,id,1910
d1,ta,id,1911
b,b,id,1912
b,b,id,1913
b,b,id,1914
b,b,id,1915
b,b,id,1916
b,b,id,1936
b,b,id,1937
b,b,id,1938
d4,tp,id,1939
b,b,id,1940
b,b,id,1941
b,b,id,1942
b,b,id,1943
b,b,id,1944
b,b,id,1964
b,b,id,1965
b,b,id,1966
d1,tp,id,1967
b,b,id,1968
b,b,id,1969
b,b,id,1970
b,b,id,1971
b,b,id,1972
b,b,id,1980
b,b,id,1981
b,b,id,1982
d3,tp,id,1983
b,b,id,1984
b,b,id,1985
b,b,id,1986
b,b,id,1987
b,b,id,1988
b,b,id,2008
b,b,id,2009
b,b,id,2010
d2,tp,id,2011
b,b,id,2012
b,b,id,2013
b,b,id,2014
b,b,id,2015
b,b,id,2016
b,b,id,2030
b,b,id,2031
b,b,id,2032
d5,tp,id,2033
b,b,id,2034
b,b,id,2035
b,b,id,2036
b,b,id,2037
b,b,id,2038
b,b,ch,2058
b,b,ch,2059
b,b,ch,2060
d4,cr,ch,2061
b,b,ch,2062
b,b,ch,2063
b,b,ch,2064
b,b,ch,2065
b,b,ch,2066
b,b,ch,2086
b,b,ch,2087
b,b,ch,2088
d3,cr,ch,2089
b,b,ch,2090
b,b,ch,2091
b,b,ch,2092
b,b,ch,2093
b,b,ch,2094
b,b,ch,2108
b,b,ch,2109
b,b,ch,2110
d5,cr,ch,2111
b,b,ch,2112
b,b,ch,2113
b,b,ch,2114
b,b,ch,2115
b,b,ch,2116
b,b,ch,2124
b,b,ch,2125
b,b,ch,2126
d2,cr,ch,2127
b,b,ch,2128
b,b,ch,2129
b,b,ch,2130
b,b,ch,2131
b,b,ch,2132
b,b,ch,2146
b,b,ch,2147
b,b,ch,2148
d1,cr,ch,2149
b,b,ch,2150
b,b,ch,2151
b,b,ch,2152
b,b,ch,2153
b,b,ch,2154
b,b,ch,2174
b,b,ch,2175
b,b,ch,2176
d4,ta,ch,2177
b,b,ch,2178
b,b,ch,2179
b,b,ch,2180
b,b,ch,2181
b,b,ch,2182
b,b,ch,2190
b,b,ch,2191
b,b,ch,2192
d2,ta,ch,2193
b,b,ch,2194
b,b,ch,2195
b,b,ch,2196
b,b,ch,2197
b,b,ch,2198
b,b,ch,2212
b,b,ch,2213
b,b,ch,2214
d5,ta,ch,2215
b,b,ch,2216
b,b,ch,2217
b,b,ch,2218
b,b,ch,2219
b,b,ch,2220
b,b,ch,2234
b,b,ch,2235
b,b,ch,2236
d3,ta,ch,2237
b,b,ch,2238
b,b,ch,2239
b,b,ch,2240
b,b,ch,2241
b,b,ch,2242
b,b,ch,2250
b,b,ch,2251
b,b,ch,2252
d1,ta,ch,2253
b,b,ch,2254
b,b,ch,2255
b,b,ch,2256
b,b,ch,2257
b,b,ch,2258
b,b,ch,2278
b,b,ch,2279
b,b,ch,2280
d4,tp,ch,2281
b,b,ch,2282
b,b,ch,2283
b,b,ch,2284
b,b,ch,2285
b,b,ch,2286
b,b,ch,2306
b,b,ch,2307
b,b,ch,2308
d1,tp,ch,2309
b,b,ch,2310
b,b,ch,2311
b,b,ch,2312
b,b,ch,2313
b,b,ch,2314
b,b,ch,2322
b,b,ch,2323
b,b,ch,2324
d3,tp,ch,2325
b,b,ch,2326
b,b,ch,2327
b,b,ch,2328
b,b,ch,2329
b,b,ch,2330
b,b,ch,2350
b,b,ch,2351
b,b,ch,2352
d2,tp,ch,2353
b,b,ch,2354
b,b,ch,2355
b,b,ch,2356
b,b,ch,2357
b,b,ch,2358
b,b,ch,2372
b,b,ch,2373
b,b,ch,2374
d5,tp,ch,2375
b,b,ch,2376
